Topic,Count,Keywords,Top_Keywords
13,15,"山洪, 暴雨, 不要, 了解, 洪水, 情况, 溪沟, 洪水猛兽, 最近, 预防","[('山洪', 0.7860992813283187), ('暴雨', 0.2401970026280974), ('不要', 0.22927895705409296), ('了解', 0.19652482033207969), ('洪水', 0.17468872918407083), ('情况', 0.09826241016603984), ('溪沟', 0.09826241016603984), ('洪水猛兽', 0.09826241016603984), ('最近', 0.09826241016603984), ('预防', 0.09826241016603984)]"
27,32,"没下, 现在, 下雨, 别下, 台风, 周一, 祈祷, 大到暴雨, 上班, 带来","[('没下', 0.51604684654214), ('现在', 0.2211629342323457), ('下雨', 0.2211629342323457), ('别下', 0.2211629342323457), ('台风', 0.2211629342323457), ('周一', 0.2211629342323457), ('祈祷', 0.2211629342323457), ('大到暴雨', 0.14744195615489714), ('上班', 0.14744195615489714), ('带来', 0.14744195615489714)]"
29,65,"洪水, 应急, 防御, 工作, 做好, 响应, 出现, 毫米, 预警, 可能","[('洪水', 0.35008561320651244), ('应急', 0.20407834324360677), ('防御', 0.2007599961989953), ('工作', 0.17919074040902058), ('做好', 0.1543031375744344), ('响应', 0.14932561700751715), ('出现', 0.1476664434852114), ('毫米', 0.14600726996290567), ('预警', 0.14434809644059993), ('可能', 0.14102974939598842)]"
2,75,"出现, 大暴雨, 山区, 夜间, 山洪, 暴雨, 预警, 河流, 发布, 灾害","[('出现', 0.41780832680535507), ('大暴雨', 0.4093506683679997), ('山区', 0.23004830949606597), ('夜间', 0.19283461237170235), ('山洪', 0.1573124469348098), ('暴雨', 0.15223785187239658), ('预警', 0.14378019343504123), ('河流', 0.13024793993527264), ('发布', 0.13024793993527264), ('灾害', 0.12855640824780157)]"
14,16,"预报, 思考, 单身, 话筒, 暴雨, 已经, 防范, 哈哈哈, 快退, 影儿","[('预报', 0.3418817293789138), ('思考', 0.3418817293789138), ('单身', 0.3418817293789138), ('话筒', 0.3418817293789138), ('暴雨', 0.2279211529192759), ('已经', 0.2279211529192759), ('防范', 0.2279211529192759), ('哈哈哈', 0.2279211529192759), ('快退', 0.11396057645963795), ('影儿', 0.11396057645963795)]"
17,27,"关注, 延庆, 现在, 多久, 顺义, 字数, 以前, 允悲, 别出去, 加班","[('关注', 0.7022468831767834), ('延庆', 0.3511234415883917), ('现在', 0.23408229439226114), ('多久', 0.23408229439226114), ('顺义', 0.11704114719613057), ('字数', 0.11704114719613057), ('以前', 0.11704114719613057), ('允悲', 0.11704114719613057), ('别出去', 0.11704114719613057), ('加班', 0.11704114719613057)]"
33,20,"今天, 天气, 台风, 影响, 暴雨, 预警, 几天, 回家, 明天, 关注","[('今天', 0.33942211665106536), ('天气', 0.27153769332085226), ('台风', 0.27153769332085226), ('影响', 0.27153769332085226), ('暴雨', 0.27153769332085226), ('预警', 0.2036532699906392), ('几天', 0.2036532699906392), ('回家', 0.13576884666042613), ('明天', 0.13576884666042613), ('关注', 0.13576884666042613)]"
35,25,"北京, 洪水, 预警, 发布, 蓝色, 暴雨, 橙色, 现在, 大暴雨, 避险","[('北京', 0.6483943436779002), ('洪水', 0.4322628957852668), ('预警', 0.4322628957852668), ('发布', 0.14408763192842225), ('蓝色', 0.14408763192842225), ('暴雨', 0.09605842128561483), ('橙色', 0.09605842128561483), ('现在', 0.07204381596421112), ('大暴雨', 0.07204381596421112), ('避险', 0.07204381596421112)]"
34,10,"城区, 地区, 防汛, 半夜, 地下, 哗哗, 周末, 周日, 周一, 吵醒","[('城区', 0.2721655269759087), ('地区', 0.2721655269759087), ('防汛', 0.2721655269759087), ('半夜', 0.13608276348795434), ('地下', 0.13608276348795434), ('哗哗', 0.13608276348795434), ('周末', 0.13608276348795434), ('周日', 0.13608276348795434), ('周一', 0.13608276348795434), ('吵醒', 0.13608276348795434)]"
19,18,"天气, 安全, 出行, 收好, 这份, 指南, 暴雨, 平安, 确保, 才能","[('天气', 0.42168561344428135), ('安全', 0.2998653251159334), ('出行', 0.2811237422961876), ('收好', 0.2811237422961876), ('这份', 0.2811237422961876), ('指南', 0.2811237422961876), ('暴雨', 0.2811237422961876), ('平安', 0.2717529508863146), ('确保', 0.1499326625579667), ('才能', 0.1405618711480938)]"
