Document_ID,Topic,Text,Top_Keywords
0,-1,杜苏芮 福建 福清 广东 惠来 一带 沿海 登陆 国家 防总 办公室 应急 管理部 组织 防汛防台 专题 会商 调度 中国气象局 水利部 自然资源 会商 研判 今年 台风 杜苏芮 发展 态势 连线 福建 广东 浙江 四川 省份 防指 办公室 调度 部署 重点 地区 防汛防台 工作 会商 研判 台风 杜苏芮 夜间 早晨 移入 南海 东北部 逐渐 闽粤 沿海 靠近 早晨 上午 福建 福清 广东 惠来 一带 沿海 登陆 强台风 台风 杜苏芮 具有 沿海 风浪 降雨 强度 影响 范围 特点 深入 内陆 北上 可能 影响 福建 广东 浙江 江西 安徽 山东 河南 河北 天津 北京 省市 防汛防台 形势严峻 任务艰巨 会商 强调 当前 处于 防汛防台 关键时期 紧要 阶段 各地 部门 最高 标准 严要求 做足 各项 防御 措施 突出 抓好 船只 回港 避风 人员 上岸 避险 危险 地区 群众 转移 安置 工作 全面落实 中小 河流 洪水 中小 水库 度汛 山洪 地质灾害 城市 内涝 薄弱环节 防御 措施 提前 关闭 沿海 旅游景点 加强 沿海 石油化工 核电 铁路 机场 矿山企业 重要 设施 电力通信 供水 生命线 工程 安全检查 集中力量 高效 抢险 救援 救灾 努力做到 不死 人少 伤人 损失,异常值
1,-1,国家 防总 提升 防汛防台 应急 响应 三级 今年 台风 杜苏芮 逐渐 闽粤 沿海 靠近 应急 管理部 获悉 国家 防总 当日 防汛防台 应急 响应 提升 三级 派出 工作组 浙江 福建 广东 江西 协助 指导 防汛防台 工作 国家 防总 办公室 应急 管理部 组织 防汛防台 专题 会商 调度 中国气象局 水利部 自然资源 会商 研判 台风 杜苏芮 发展 态势 连线 福建 广东 浙江 四川 省份 防指 办公室 调度 部署 重点 地区 防汛防台 工作 会商 研判 台风 杜苏芮 夜间 早晨 移入 南海 东北部 早晨 上午 福建 福清 广东 惠来 一带 沿海 登陆 台风 杜苏芮 具有 沿海 风浪 降雨 强度 影响 范围 特点 深入 内陆 北上 可能 影响 福建 广东 浙江 江西 安徽 山东 河南 河北 天津 北京 省市 防汛防台 形势严峻 任务艰巨 会商 强调 当前 处于 防汛防台 关键时期 紧要 阶段 各地 部门 各项 防御 措施 突出 抓好 船只 回港 避风 人员 上岸 避险 危险 地区 群众 转移 安置 工作 全面落实 中小 河流 洪水 中小 水库 度汛 山洪 地质灾害 城市 内涝 薄弱环节 防御 措施 提前 关闭 沿海 旅游景点 加强 沿海 石油化工 核电 铁路 机场 矿山企业 重要 设施 电力通信 供水 生命线 工程 安全检查 集中力量 高效 抢险 救援 救灾 应急 管理部 工程 抢险 航空 救援 排涝 应急 力量 进行 省区 优化 调整 协调 落实 余人 直升机 做好 随时 增援 准备,异常值
2,-1,国家 防总 办公室 应急 管理部 组织 防汛防台 专题 会商 调度 中国气象局 水利部 自然资源 会商 研判 今年 台风 杜苏芮 发展 态势 连线 福建 广东 浙江 四川 省份 防指 办公室 调度 部署 重点 地区 防汛防台 工作 会商 研判 台风 杜苏芮 夜间 早晨 移入 南海 东北部 逐渐 闽粤 沿海 靠近 早晨 上午 福建 福清 广东 惠来 一带 沿海 登陆 强台风 台风 杜苏芮 具有 沿海 风浪 降雨 强度 影响 范围 特点 深入 内陆 北上 可能 影响 福建 广东 浙江 江西 安徽 山东 河南 河北 天津 北京 省市 防汛防台 形势严峻 任务艰巨 会商 强调 当前 处于 防汛防台 关键时期 紧要 阶段 各地 部门 最高 标准 严要求 做足 各项 防御 措施 突出 抓好 船只 回港 避风 人员 上岸 避险 危险 地区 群众 转移 安置 工作 全面落实 中小 河流 洪水 中小 水库 度汛 山洪 地质灾害 城市 内涝 薄弱环节 防御 措施 提前 关闭 沿海 旅游景点 加强 沿海 石油化工 核电 铁路 机场 矿山企业 重要 设施 电力通信 供水 生命线 工程 安全检查 集中力量 高效 抢险 救援 救灾 努力做到 不死 人少 伤人 损失 国家 防总 防汛防台 应急 响应 提升 三级 派出 工作组 浙江 福建 广东 江西 协助 指导 防汛防台 工作 应急 管理部 工程 抢险 航空 救援 排涝 应急 力量 进行 省区 优化 调整 协调 落实 余人 直升机 做好 随时 增援 准备 央视 新闻 客户端,异常值
3,13,遥遥 想起 两年 大约 去往 北京 高铁 途径 河南 害怕 暴雨 余波 火车 冲垮 彻夜难眠 回程 洪水 毁掉 庄稼 农田 车厢 安静 令人窒息,"山洪, 暴雨, 不要, 了解, 洪水"
4,27,焉知 不是 命运,"没下, 现在, 下雨, 别下, 台风"
5,29,河北省 水利厅 水旱灾害 防御 应急 响应 工作 规程 河北省 水利厅 决定 今日 针对 全省 水利 系统启动 洪水 防御 应急 响应 据预测 今年 台风 杜苏芮 福建 广东 附近 登陆 随后 西北 方向 移动 受其 登陆 影响 日至 河北 大部 大到暴雨 局地 大暴雨 三河 永定河 大清河 子牙河 漳卫河 河系 可能 发生 洪水 本次 台风 具有 强度 水汽 量足 影响 范围广 持续时间 特点 水利厅 要求 各地 单位 高度重视 进一步 压实 防御 责任 加强 值班 值守 密切 关注 雨水 强化 监测 预报 预警 做好 水库 闸涵 工程 科学 调度 落实 各项 防御 措施 加大 防洪工程 巡查 力度 提早 转移 威胁 群众 险情 及早 处置 确保安全 度汛,"洪水, 应急, 防御, 工作, 做好"
6,29,台风 杜苏芮 带来 大到暴雨 河北 启动 洪水 防御 应急 响应 河北省 水利厅 水旱灾害 防御 应急 响应 工作 规程 水利厅 决定 今天 针对 全省 水利 系统启动 洪水 防御 应急 响应 据预测 今年 台风 杜苏芮 福建 广东 附近 登陆 随后 西北 方向 移动 受其 登陆 影响 日至 河北 大部 大到暴雨 局地 大暴雨 三河 永定河 大清河 子牙河 漳卫河 河系 可能 发生 洪水 本次 台风 具有 强度 水汽 量足 影响 范围广 持续时间 特点 水利厅 要求 各地 单位 高度重视 进一步 压实 防御 责任 加强 值班 值守 密切 关注 雨水 强化 监测 预报 预警 做好 水库 闸涵 工程 科学 调度 落实 各项 防御 措施 加大 防洪工程 巡查 力度 提早 转移 威胁 群众 险情 及早 处置 确保安全 度汛 河北 日报 客户端,"洪水, 应急, 防御, 工作, 做好"
7,29,河北省 水利厅 水旱灾害 防御 应急 响应 工作 规程 河北省 水利厅 决定 今日 针对 全省 水利 系统启动 洪水 防御 应急 响应 据预测 今年 台风 杜苏芮 福建 广东 附近 登陆 随后 西北 方向 移动 受其 登陆 影响 日至 河北 大部 大到暴雨 局地 大暴雨 三河 永定河 大清河 子牙河 漳卫河 河系 可能 发生 洪水 本次 台风 具有 强度 水汽 量足 影响 范围广 持续时间 特点 水利厅 要求 各地 单位 高度重视 进一步 压实 防御 责任 加强 值班 值守 密切 关注 雨水 强化 监测 预报 预警 做好 水库 闸涵 工程 科学 调度 落实 各项 防御 措施 加大 防洪工程 巡查 力度 提早 转移 威胁 群众 险情 及早 处置 确保安全 度汛 来源 纵览 新闻 客户端,"洪水, 应急, 防御, 工作, 做好"
8,27,台风 杜苏芮 带来 大到暴雨 氛围 到位,"没下, 现在, 下雨, 别下, 台风"
9,27,台风 杜苏芮 带来 大到暴雨 赶紧,"没下, 现在, 下雨, 别下, 台风"
