Topic,Count,Keywords,Top_Keywords
9,14,"山洪, 暴雨, 不要, 了解, 洪水, 情况, 溪沟, 洪水猛兽, 最近, 预防","[('山洪', 0.7862867602914728), ('暴雨', 0.24025428786683892), ('不要', 0.22933363841834623), ('了解', 0.1965716900728682), ('洪水', 0.17473039117588285), ('情况', 0.0982858450364341), ('溪沟', 0.0982858450364341), ('洪水猛兽', 0.0982858450364341), ('最近', 0.0982858450364341), ('预防', 0.0982858450364341)]"
27,30,"没下, 现在, 下雨, 别下, 台风, 周一, 祈祷, 大到暴雨, 上班, 带来","[('没下', 0.5261522196019802), ('现在', 0.22549380840084865), ('下雨', 0.22549380840084865), ('别下', 0.22549380840084865), ('台风', 0.22549380840084865), ('周一', 0.22549380840084865), ('祈祷', 0.22549380840084865), ('大到暴雨', 0.15032920560056579), ('上班', 0.15032920560056579), ('带来', 0.15032920560056579)]"
30,62,"洪水, 应急, 防御, 工作, 做好, 响应, 毫米, 出现, 可能, 预警","[('洪水', 0.3545221646142735), ('应急', 0.20964531849786366), ('防御', 0.20623645153041872), ('工作', 0.16192118095363453), ('做好', 0.1585123139861896), ('响应', 0.1533990135350222), ('毫米', 0.14999014656757725), ('出现', 0.1465812796001323), ('可能', 0.14487684611640983), ('预警', 0.14317241263268737)]"
2,80,"出现, 大暴雨, 山区, 夜间, 暴雨, 山洪, 预警, 洪水, 河流, 灾害","[('出现', 0.4145256579164207), ('大暴雨', 0.40951123463517364), ('山区', 0.22732052208319845), ('夜间', 0.19054808468738693), ('暴雨', 0.15711859614574009), ('山洪', 0.15711859614574009), ('预警', 0.142075326301999), ('洪水', 0.137060903020752), ('河流', 0.13538942859366965), ('灾害', 0.13371795416658733)]"
13,16,"预报, 思考, 单身, 话筒, 暴雨, 已经, 防范, 哈哈哈, 快退, 影儿","[('预报', 0.3418817293789138), ('思考', 0.3418817293789138), ('单身', 0.3418817293789138), ('话筒', 0.3418817293789138), ('暴雨', 0.2279211529192759), ('已经', 0.2279211529192759), ('防范', 0.2279211529192759), ('哈哈哈', 0.2279211529192759), ('快退', 0.11396057645963795), ('影儿', 0.11396057645963795)]"
18,27,"关注, 延庆, 现在, 多久, 顺义, 字数, 以前, 允悲, 别出去, 加班","[('关注', 0.7022468831767834), ('延庆', 0.3511234415883917), ('现在', 0.23408229439226114), ('多久', 0.23408229439226114), ('顺义', 0.11704114719613057), ('字数', 0.11704114719613057), ('以前', 0.11704114719613057), ('允悲', 0.11704114719613057), ('别出去', 0.11704114719613057), ('加班', 0.11704114719613057)]"
32,21,"今天, 天气, 暴雨, 影响, 台风, 几天, 预警, 明天, 回家, 友好","[('今天', 0.33786868919974294), ('天气', 0.27029495135979437), ('暴雨', 0.27029495135979437), ('影响', 0.27029495135979437), ('台风', 0.27029495135979437), ('几天', 0.2027212135198458), ('预警', 0.2027212135198458), ('明天', 0.13514747567989718), ('回家', 0.13514747567989718), ('友好', 0.13514747567989718)]"
33,10,"城区, 地区, 静默, 周一, 城关, 地铁, 地下, 哗哗, 周末, 周日","[('城区', 0.2886751345948129), ('地区', 0.2886751345948129), ('静默', 0.14433756729740646), ('周一', 0.14433756729740646), ('城关', 0.14433756729740646), ('地铁', 0.14433756729740646), ('地下', 0.14433756729740646), ('哗哗', 0.14433756729740646), ('周末', 0.14433756729740646), ('周日', 0.14433756729740646)]"
16,18,"天气, 安全, 出行, 收好, 这份, 指南, 暴雨, 平安, 确保, 才能","[('天气', 0.42168561344428135), ('安全', 0.2998653251159334), ('出行', 0.2811237422961876), ('收好', 0.2811237422961876), ('这份', 0.2811237422961876), ('指南', 0.2811237422961876), ('暴雨', 0.2811237422961876), ('平安', 0.2717529508863146), ('确保', 0.1499326625579667), ('才能', 0.1405618711480938)]"
28,28,"注意安全, 安全, 话筒, 晚安, 第一, 平安, 无小事, 台风, 防汛, 吃惊","[('注意安全', 0.7071067811865476), ('安全', 0.32141217326661253), ('话筒', 0.32141217326661253), ('晚安', 0.19284730395996752), ('第一', 0.19284730395996752), ('平安', 0.19284730395996752), ('无小事', 0.128564869306645), ('台风', 0.128564869306645), ('防汛', 0.128564869306645), ('吃惊', 0.128564869306645)]"
3,10,"大暴雨, 出现, 暴雨, 夜间, 山区, 西部, 南部, 灾害, 强降水, 次生","[('大暴雨', 0.4229562434885097), ('出现', 0.4229562434885097), ('暴雨', 0.2985573483448304), ('夜间', 0.2239180112586228), ('山区', 0.2239180112586228), ('西部', 0.21147812174425484), ('南部', 0.21147812174425484), ('灾害', 0.1492786741724152), ('强降水', 0.12439889514367933), ('次生', 0.12439889514367933)]"
23,18,"人员, 停止, 防汛, 及时, 措施, 预警, 转移, 游客, 非必要, 做好","[('人员', 0.26035251811191074), ('停止', 0.20472163817346828), ('防汛', 0.19582069738331748), ('及时', 0.18469452139562897), ('措施', 0.18246928619809127), ('预警', 0.1668926398153274), ('转移', 0.1557664638276389), ('游客', 0.1557664638276389), ('非必要', 0.14241505264241272), ('做好', 0.14018981744487502)]"
29,15,"毫米, 应急, 做好, 防汛, 组织, 工作, 组要, 抢险救灾, 保障, 准备","[('毫米', 0.34962839856491407), ('应急', 0.28427729602941615), ('做好', 0.27774218577586635), ('防汛', 0.25813685501521694), ('组织', 0.23526396912779265), ('工作', 0.21239108324036837), ('组要', 0.20912352811359347), ('抢险救灾', 0.1829830870993943), ('保障', 0.1633777563387449), ('准备', 0.1470399807048704)]"
34,25,"洪水, 流域, 预警, 蓝色, 永定河, 发布, 可能, 河道, 发生, 大清河","[('洪水', 0.3703609623467359), ('流域', 0.3703609623467359), ('预警', 0.33743998791591495), ('蓝色', 0.3127492570927992), ('永定河', 0.26336779544656774), ('发布', 0.18929560297722056), ('可能', 0.1563746285463996), ('河道', 0.14814438493869436), ('发生', 0.14814438493869436), ('大清河', 0.13168389772328387)]"
25,29,"安全, 工作, 单位, 人员, 做好, 预警, 防汛, 应对, 及时, 活动","[('安全', 0.3369778592874596), ('工作', 0.2635014839541037), ('单位', 0.22042912600006753), ('人员', 0.207760785425351), ('做好', 0.20269344919546442), ('预警', 0.2001597810805211), ('防汛', 0.1976261129655778), ('应对', 0.17735676804603134), ('及时', 0.16722209558625814), ('活动', 0.14441908255176839)]"
